_id,Description,Sample Description,Sample No.,Date Sample Collected,Comments,Sample Matrix Code,Sample Matrix,Sample Type (comp./grab),Sample Collected by,Time Sample Collected,Temperature,Dissolved Oxygen,pH,E.Cond.,Secchi Depth,Salinity (Field),E. coli,Thermotolerant coliforms,Intestinal enterococci,Chlorophyll a,Chloro-a Phenophytin ratio,BOD5,Suspended Solids,Organic Carbon - Total,Ammonia as N,Nitrate + Nitrite as N,Phosphate as P,Total Nitrogen as N,Total Phosphorus as P,TKN as N (TN-NOX)
1,"","",,,"","","","","","",TEMPERATURE,DO,PH,E.Cond.,"",Salinity (Field),ECOLI,FAECAL_COLI_MF,ENTEROCOCCI,CHLOROPHYLL_A,"",BOD,SUSPENDED_SOLI,TOC,AMMONIA_N,NOX,ORTHO_P,TN_PERSULPHATE,TP_PERSULPHATE,TKN
2,Units,"",,,"","","","","","",oC,mg/L,pH Units,us/cm,m,ppt,cfu/100mL,cfu/100mL,cfu/100mL,ug/L,ratio,mg/L,mg/L,mg/L C,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
42,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2014-04-10T00:00:00,"","","",Grab,Sampler 2,09:05:00,25.7,4.4,8,38200,"",24.3,"","","","","",<3,"",11,0.044,<0.005,"",0.46,"",""
43,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2014-04-10T00:00:00,"","","",Grab,Sampler 2,09:30:00,25.7,5.1,7.7,31200,1.2,19.4,21,46,3 EST,7.5,1.1,3,10,13,0.053,0.028,0.13,0.59,0.2,""
44,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2014-04-10T00:00:00,"","","",Grab,Sampler 2,09:35:00,25.9,4.2,7.8,34500,"",21.6,"","","","","",3,"",10,0.099,0.016,"",0.57,"",0.55
45,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2014-04-10T00:00:00,"","","",Grab,Sampler 2,10:10:00,25.9,4.3,7.6,30600,1.2,19,23,43,5 EST,8.5,1.1,3,9,11,0.087,0.031,0.11,0.67,0.18,0.64
46,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2014-04-10T00:00:00,"","","",Grab,Sampler 2,10:15:00,25.9,3.7,7.7,31900,"",19.9,"","","","","",3,"",11,0.12,0.028,"",0.62,"",0.59
47,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2014-04-10T00:00:00,"","","",Grab,Sampler 2,10:37:00,26,4.2,7.5,29800,1.1,18.5,16,36,1 EST,5.3,1.1,<3,11,12,0.11,0.033,0.087,0.55,0.14,0.51
48,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2014-04-10T00:00:00,"","","",Grab,Sampler 2,10:42:00,26,3.3,7.6,31500,"",19.6,"","","","","",3,"",11,0.13,0.026,"",0.56,"",0.53
49,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2014-04-10T00:00:00,"","","",Grab,Sampler 2,10:56:00,26.1,3.6,7.4,28900,1.1,17.8,21,55,2 EST,5.3,1.1,<3,8,11,0.12,0.047,0.08,0.56,0.13,0.51
50,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2014-04-10T00:00:00,"","","",Grab,Sampler 2,11:04:00,26.1,3,7.5,29800,"",18.5,"","","","","",<3,"",11,0.14,0.039,"",0.59,"",0.55
51,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2014-04-10T00:00:00,"","","",Grab,Sampler 2,11:20:00,25.8,5.7,7.3,23500,1.1,14.2,36,80,5 EST,4.3,1.1,<3,5,12,0.11,0.073,0.064,0.55,0.11,0.48
52,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2014-04-10T00:00:00,"","","",Grab,Sampler 2,11:25:00,25.8,6,7.4,25500,"",15.5,"","","","","",<3,"",11,0.12,0.064,"",0.54,"",0.47
53,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2014-04-10T00:00:00,"","","",Grab,Sampler 2,11:50:00,25.7,4.4,7.2,19700,0.5,11.7,74,140,15,4.3,1,<3,6,13,0.1,0.088,0.049,0.53,0.09,0.44
54,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2014-04-10T00:00:00,"","","",Grab,Sampler 2,13:10:00,"",7.6,7.4,672,"",0.5,3700,<1,<1,"","","","","",0.023,0.23,1.84,1.03,2.03,0.81
55,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2014-05-15T00:00:00,"","","",Grab,Sampler 3,11:47:00,21,7.2,7.9,47300,1,30.7,200,210,11,3.2,1,<3,6,8,<0.005,<0.005,0.037,0.29,0.06,0.29
56,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2014-05-15T00:00:00,"","","",Grab,Sampler 3,11:54:00,21,7.2,7.9,47100,1,30.6,"","","","","",<3,"",9,<0.005,<0.005,"",0.3,"",0.3
57,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2014-05-15T00:00:00,"","","",Grab,Sampler 3,11:21:00,21.1,6.5,7.8,48500,1,31.6,230,260,29,3.2,1.1,<3,4,9,<0.005,<0.005,0.044,0.33,0.08,0.33
58,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2014-05-15T00:00:00,"","","",Grab,Sampler 3,11:28:00,20.6,6.6,7.8,48900,1,31.9,"","","","","",<3,"",8,<0.005,<0.005,"",0.32,"",0.32
59,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2014-05-15T00:00:00,"","","",Grab,Sampler 3,10:50:00,21.2,6.7,7.8,45400,1,29.3,170,180,9,4.3,1.1,<3,6,10,<0.005,<0.005,0.043,0.33,0.08,0.33
60,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2014-05-15T00:00:00,"","","",Grab,Sampler 3,11:00:00,21.2,6.8,7.8,46300,1,30,"","","","","",<3,"",7,<0.005,<0.005,"",0.32,"",0.32
61,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2014-05-15T00:00:00,"","","",Grab,Sampler 3,10:18:00,21.2,6.6,7.7,43700,1,28.1,200,240,13,4.3,1.1,<3,10,7,<0.005,<0.005,0.052,0.36,0.09,0.36
62,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2014-05-15T00:00:00,"","","",Grab,Sampler 3,10:28:00,20.8,5.3,7.8,45200,1,29.2,"","","","","",<3,"",9,<0.005,<0.005,"",0.51,"",0.51
63,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2014-05-15T00:00:00,"","","",Grab,Sampler 3,10:00:00,20.9,6,7.7,43600,1,28,140,140,16,5.3,1.1,<3,14,6,<0.005,<0.005,0.06,0.4,0.1,0.4
