_id,Description,Sample Description,Sample No.,Date Sample Collected,Comments,Sample Matrix Code,Sample Matrix,Sample Type (comp./grab),Sample Collected by,Time Sample Collected,Temperature,Dissolved Oxygen,pH,E.Cond.,Secchi Depth,Salinity (Field),E. coli,Thermotolerant coliforms,Intestinal enterococci,Chlorophyll a,Chloro-a Phenophytin ratio,BOD5,Suspended Solids,Organic Carbon - Total,Ammonia as N,Nitrate + Nitrite as N,Phosphate as P,Total Nitrogen as N,Total Phosphorus as P,TKN as N (TN-NOX)
1,"","",,,"","","","","","",TEMPERATURE,DO,PH,E.Cond.,"",Salinity (Field),ECOLI,FAECAL_COLI_MF,ENTEROCOCCI,CHLOROPHYLL_A,"",BOD,SUSPENDED_SOLI,TOC,AMMONIA_N,NOX,ORTHO_P,TN_PERSULPHATE,TP_PERSULPHATE,TKN
2,Units,"",,,"","","","","","",oC,mg/L,pH Units,us/cm,m,ppt,cfu/100mL,cfu/100mL,cfu/100mL,ug/L,ratio,mg/L,mg/L,mg/L C,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
896,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2019-01-17T00:00:00,"",SAL,Saline Water,Grab,Sampler 9,08:30:00,28.9,5.2,7.7,44400,0.7,28.6,3 EST,3 EST,<1,12,1.2,<3,13,8,0.007,<0.005,0.061,0.45,0.11,0.45
897,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2019-01-17T00:00:00,"",SAL,Saline Water,Grab,Sampler 9,08:40:00,29.2,4.7,7.8,45800,"",29.7,"","","","","",<3,"",7,0.006,<0.005,0.06,0.44,0.11,0.44
898,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2019-01-17T00:00:00,"",SAL,Saline Water,Grab,Sampler 9,09:00:00,29,4.9,7.7,42400,0.6,27.2,5 EST,5 EST,3 EST,13,1.2,<3,23,8,0.006,<0.005,0.067,0.51,0.12,0.51
899,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2019-01-17T00:00:00,"",SAL,Saline Water,Grab,Sampler 9,09:10:00,29.2,4.7,7.7,46700,"",28,"","","","","",<3,"",8,0.006,<0.005,0.076,0.47,0.13,0.47
900,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2019-01-17T00:00:00,"",SAL,Saline Water,Grab,Sampler 9,09:30:00,29.3,5.9,7.7,40800,0.6,26.1,6 EST,6 EST,3 EST,15,1.2,<3,22,7,0.006,<0.005,0.073,0.52,0.13,0.52
901,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2019-01-17T00:00:00,"",SAL,Saline Water,Grab,Sampler 9,09:40:00,29.3,4.4,7.7,43200,"",27.8,"","","","","",<3,"",8,0.007,<0.005,0.076,0.49,0.14,0.49
902,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2019-01-17T00:00:00,"",SAL,Saline Water,Grab,Sampler 9,09:55:00,29.4,4.4,7.7,41700,0.6,26.7,16,20,5 EST,19,1.2,<3,20,9,0.006,<0.005,0.076,0.53,0.14,0.53
903,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2019-01-17T00:00:00,"",SAL,Saline Water,Grab,Sampler 9,10:05:00,29.2,4,7.7,42100,"",27,"","","","","",<3,"",9,0.006,<0.005,0.077,0.5,0.13,0.5
904,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2019-01-17T00:00:00,"",SAL,Saline Water,Grab,Sampler 9,10:15:00,29.7,4.8,7.6,39500,0.7,25.1,8 EST,8 EST,2 EST,13,1.2,<3,28,8,0.006,<0.005,0.079,0.49,0.13,0.49
905,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2019-01-17T00:00:00,"",SAL,Saline Water,Grab,Sampler 9,10:25:00,29.4,4.2,7.6,40600,"",25.9,"","","","","",<3,"",8,0.006,<0.005,0.086,0.48,0.14,0.48
906,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2019-01-17T00:00:00,"",SAL,Saline Water,Grab,Sampler 9,10:35:00,29.9,4.2,7.5,37500,0.7,23.8,22,23,10 EST,11,1.2,<3,14,8,0.007,<0.005,0.082,0.45,0.12,0.45
907,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2019-01-17T00:00:00,"",SAL,Saline Water,Grab,Sampler 9,10:45:00,29.8,4,7.6,37900,"",24,"","","","","",<3,"",7,0.007,<0.005,0.079,0.46,0.13,0.46
908,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2019-01-17T00:00:00,"",SAL,Saline Water,Grab,Sampler 9,11:05:00,29.9,3.9,7.5,33200,0.7,20.7,50,54,26,11,1.2,<3,13,9,0.007,<0.005,0.069,0.45,0.11,0.45
909,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2019-01-17T00:00:00,"",STP,Sewage,Grab,Sampler 9,12:15:00,29,8,7.9,<5.00,"",<0.100,3 EST,5 EST,2 EST,<1,1,<3,<2,8,0.047,0.85,0.21,1.81,0.32,0.96
910,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,07:29:00,28,5.7,8.1,49700,0.8,32.5,1 EST,6 EST,2 EST,6.4,1.1,<3,35,12,0.018,<0.005,0.057,0.41,0.12,0.41
911,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,07:39:00,27.9,5.2,8.1,50200,"",32.9,"","","","","",<3,"",7,0.018,<0.005,0.058,0.42,0.12,0.42
912,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,08:22:00,27.5,5.2,7.9,46800,0.8,30.4,7 EST,8 EST,9 EST,8,1.2,<3,30,6,0.018,<0.005,0.058,0.44,0.13,0.44
913,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,08:35:00,27.4,5.3,7.9,48400,"",31.6,"","","","","",<3,"",6,0.018,<0.005,0.057,0.44,0.13,0.44
914,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,09:00:00,27.7,5.2,7.9,47500,0.8,30.9,14,14,4 EST,5.3,1.1,<3,38,10,0.018,<0.005,0.059,0.45,0.15,0.45
915,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,09:10:00,27.5,5.1,7.9,48000,"",31.3,"","","","","",<3,"",6,0.019,<0.005,0.059,0.44,0.13,0.44
916,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,09:32:00,27.8,5.2,7.9,47600,0.8,31,4 EST,4 EST,3 EST,8.2,1.1,<3,32,7,0.018,<0.005,0.061,0.46,0.14,0.46
917,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,09:42:00,27.7,5.1,7.8,47700,"",31.1,"","","","","",<3,"",7,0.018,<0.005,0.06,0.42,0.13,0.42
918,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,10:02:00,28.1,5.4,7.9,46600,0.8,30.3,17,27,5 EST,8.9,1.2,<3,27,6,0.018,<0.005,0.067,0.42,0.13,0.42
919,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,10:10:00,27.8,5.1,7.9,47600,"",31,"","","","","",<3,"",6,0.019,<0.005,0.06,0.45,0.13,0.45
920,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,10:27:00,28,5.1,7.9,46900,0.8,30.5,23,32,8 EST,11,1.2,<3,37,7,0.018,<0.005,0.063,0.42,0.13,0.42
921,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,10:35:00,27.9,4.4,7.9,47100,"",30.6,"","","","","",<3,"",5,0.018,<0.005,0.063,0.42,0.13,0.42
922,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,11:04:00,28.4,5.1,7.9,45000,1,29.1,250,250,35,9.1,1.2,<3,35,6,0.017,<0.005,0.075,0.44,0.13,0.44
923,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,11:12:00,28.1,4.1,7.9,45800,"",29.7,"","","","","",<3,"",10,0.017,<0.005,0.073,0.44,0.14,0.44
924,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,11:32:00,29.1,5.7,7.9,42700,1,27.5,14,19,5 EST,15,1.2,<3,25,8,0.017,<0.005,0.085,0.46,0.14,0.46
925,North Pine Mid-Field Monitoring,MFMP 8 - 1.5m,16,2019-02-20T00:00:00,"",SAL,Saline Water,Grab,Sampler 6,11:42:00,28.5,5.5,7.8,42700,"",27.5,"","","","","",<3,"",7,0.016,<0.005,0.085,0.46,0.15,0.46
926,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2019-02-20T00:00:00,"",STP,Sewage,Grab,Sampler 6,13:31:00,31.3,7.3,7.9,793,"",0.4,1100,1800,330,1.6,1,<3,5,11,0.037,0.11,0.52,1.05,0.63,0.95
927,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,07:12:00,26.7,4.4,7.4,26000,0.6,15.9,51,290,12,1.3,1,<3,14,10,0.11,0.25,0.071,0.91,0.14,0.67
928,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,07:23:00,26.7,4.3,7.4,26600,"",16.3,"","","","","",<3,"",16,0.12,0.24,0.07,0.97,0.15,0.73
929,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,08:05:00,26.8,4.6,7.4,25600,0.7,15.6,53,310,5 EST,2.7,1,<3,20,12,0.12,0.23,0.068,0.9,0.15,0.66
930,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,08:15:00,26.8,4.5,7.4,27300,"",16.8,"","","","","",<3,"",11,0.11,0.23,0.067,0.9,0.14,0.67
931,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,08:36:00,26.8,4.3,7.4,24900,0.6,15.1,63,250,14,4,1,<3,15,12,0.086,0.25,0.069,0.91,0.14,0.66
932,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,08:45:00,26.8,4.1,7.4,26300,"",16.1,"","","","","",<3,"",12,0.12,0.24,0.072,0.9,0.17,0.66
933,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,09:10:00,26.9,4.2,7.4,23800,0.6,14.4,68,230,9 EST,2.7,1,<3,13,12,0.1,0.26,0.076,0.93,0.15,0.67
934,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,09:20:00,26.8,4.1,7.3,24500,"",14.9,"","","","","",<3,"",11,0.11,0.25,0.078,0.92,0.14,0.66
935,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,09:55:00,27.1,4.5,7.4,24000,0.8,14.5,74,250,5 EST,4,1,<3,13,11,0.13,0.26,0.09,0.94,0.16,0.68
936,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,10:05:00,26.9,4.2,7.4,24700,"",15,"","","","","",<3,"",12,0.14,0.26,0.084,0.92,0.14,0.66
937,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,10:24:00,27.3,4.1,7.4,23500,0.8,14.2,130,550,25,5.3,1,<3,9,12,0.13,0.29,0.094,0.99,0.15,0.7
938,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,10:30:00,27,3.3,7.4,24000,"",14.5,"","","","","",<3,"",11,0.14,0.26,0.086,0.94,0.15,0.68
939,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,10:58:00,28.5,4.9,7.3,19500,0.8,11.6,56,290,14,8,1.1,<3,9,12,0.13,0.28,0.1,1.09,0.19,0.81
940,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,11:06:00,27.5,4.2,7.3,21200,"",12.7,"","","","","",<3,"",12,0.18,0.28,0.11,1.01,0.18,0.73
941,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,11:32:00,27.7,3.7,7.1,15000,0.9,8.7,19,480,75,11,0.7,<3,4,11,0.26,0.29,0.13,0.99,0.21,0.7
942,North Pine Mid-Field Monitoring,MFMP 8 - 1.5m,16,2019-03-21T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,11:40:00,27.1,3.2,7.1,17500,"",10.3,"","","","","",<3,"",12,0.25,0.29,0.14,1.01,0.21,0.72
943,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2019-03-21T00:00:00,"",STP,Sewage,Grab,Sampler 10,12:50:00,29.7,7.3,7.4,702,"",0.3,2 EST,310,2 EST,<1,1,<3,<2,12,0.027,0.11,0.62,0.81,0.7,0.7
944,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,07:45:00,23,6.7,7.9,47100,0.8,30.6,10,14,3 EST,2.7,1,<3,13,28,<0.005,<0.005,0.04,0.38,0.09,0.38
945,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,08:00:00,22.9,6.4,7.9,47700,"",31,"","","","","",<3,"",21,<0.005,<0.005,0.036,0.37,0.09,0.37
946,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,08:35:00,23.2,5.7,7.9,46200,0.8,30,8 EST,20,7 EST,<1,1,<3,9,19,0.007,<0.005,0.041,0.4,0.09,0.4
947,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,08:45:00,23,5.8,7.9,47600,"",31,"","","","","",<3,"",17,<0.005,<0.005,0.037,0.38,0.09,0.38
948,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,09:10:00,23.5,6.1,7.9,44400,0.9,28.6,8 EST,13,2 EST,2.7,1,<3,10,16,0.005,<0.005,0.042,0.43,0.09,0.43
949,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,09:20:00,23.4,5.3,7.9,44300,"",28.6,"","","","","",<3,"",14,<0.005,<0.005,0.042,0.44,0.1,0.44
950,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,09:50:00,24.3,5.9,7.8,40400,0.9,25.8,10,17,5 EST,2.7,1,<3,4,14,0.005,<0.005,0.045,0.44,0.11,0.44
951,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,09:55:00,23.5,5.9,7.9,43400,"",28,"","","","","",<3,"",13,0.006,<0.005,0.053,0.44,0.1,0.44
952,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,10:15:00,23.9,6.1,7.8,41800,0.9,26.8,14,32,11,2.7,1,<3,7,11,0.005,<0.005,0.048,0.45,0.11,0.45
953,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,10:25:00,23.6,6.1,7.8,42300,"",27.1,"","","","","",<3,"",11,<0.005,<0.005,0.051,0.42,0.11,0.42
954,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,10:40:00,24,6.5,7.7,40100,0.9,25.6,23,41,8 EST,2.7,1,<3,9,11,0.012,<0.005,0.058,0.47,0.12,0.47
955,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,10:50:00,23.9,6.9,7.8,40200,"",25.7,"","","","","",<3,"",11,0.005,<0.005,0.059,0.48,0.13,0.48
956,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,11:15:00,24.4,5.3,7.5,35500,1.1,22.4,49,59,8 EST,2.7,1,<3,5,11,0.044,0.02,0.072,0.5,0.12,0.48
957,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,11:25:00,24.2,5.2,7.6,36000,"",22.7,"","","","","",<3,"",12,0.041,0.019,0.074,0.58,0.12,0.56
958,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,11:55:00,24.1,5.2,7.5,31500,1.2,19.6,120,160,34,2.7,1,<3,5,11,0.052,0.029,0.074,0.55,0.12,0.52
959,North Pine Mid-Field Monitoring,MFMP 8 - 1.5m,16,2019-04-18T00:00:00,"",SAL,Saline Water,Grab,Sampler 2,12:00:00,24.1,5.2,7.5,31400,"",19.5,"","","","","",<3,"",10,0.052,0.028,0.078,0.54,0.13,0.51
960,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2019-04-18T00:00:00,"",STP,Sewage,Grab,Sampler 2,13:15:00,28.4,8.2,7.6,786,"",0.4,<1,57,6 EST,<1,0.8,<3,<2,14,0.042,0.12,0.15,1.24,0.25,1.13
961,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,07:15:00,23.6,6.8,7.9,44600,1.1,28.8,6 EST,10 EST,5 EST,2.7,1,<3,12,7.2,<0.005,<0.005,0.032,0.32,0.08,0.32
962,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,07:20:00,23.6,6.4,7.9,44700,"",28.9,"","","","","",<3,"",6.6,<0.005,<0.005,0.032,0.35,0.08,0.35
963,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,08:00:00,23.8,6.2,7.9,45000,1.1,29.1,6 EST,12 EST,3 EST,1.3,1,<3,5,6.5,<0.005,<0.005,0.039,0.37,0.08,0.37
964,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,08:08:00,23.8,5.1,7.9,44900,"",29,"","","","","",<3,"",5.8,<0.005,<0.005,0.038,0.33,0.08,0.33
965,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,08:38:00,23.8,6.6,7.8,38800,1.4,24.7,12,18,7 EST,4,1,<3,6,5.8,<0.005,<0.005,0.039,0.37,0.08,0.37
966,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,08:45:00,24,6,7.9,41000,"",26.2,"","","","","",<3,"",6.1,<0.005,<0.005,0.04,0.37,0.08,0.37
967,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,09:13:00,24.2,6.6,7.8,36300,1.2,22.9,19,35,12,6.7,1.1,<3,3,6.6,<0.005,<0.005,0.049,0.43,0.1,0.43
968,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,09:20:00,24.1,6,7.8,39700,"",25.3,"","","","","",<3,"",7.3,<0.005,<0.005,0.042,0.4,0.09,0.4
969,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,09:40:00,24.3,6.3,7.8,37700,1.2,23.9,19,38,5 EST,9.3,1.1,<3,7,7.8,<0.005,<0.005,0.049,0.44,0.1,0.44
970,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,09:46:00,24.2,6.2,7.8,38500,"",24.5,"","","","","",<3,"",8.1,0.005,<0.005,0.048,0.44,0.1,0.44
971,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,10:02:00,24.5,6.1,7.7,36100,1.3,22.8,23,44,5 EST,6.7,1.1,<3,6,7.6,0.007,<0.005,0.054,0.45,0.11,0.45
972,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,10:08:00,24.4,5.8,7.8,37300,"",23.6,"","","","","",<3,"",7.5,0.007,<0.005,0.052,0.44,0.11,0.44
973,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,10:26:00,24.5,5.5,7.6,33000,1.4,20.6,60,78,15,5.3,1,<3,2,7,0.007,0.01,0.06,0.41,0.11,0.4
974,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,10:33:00,24.5,5.2,7.6,33200,"",20.8,"","","","","",<3,"",6.7,0.017,0.007,0.062,0.43,0.11,0.42
975,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,10:45:00,24.2,5.5,7.5,29100,1.4,18,140,180,32,4,1,<3,5,7.1,0.021,0.021,0.065,0.41,0.11,0.39
976,North Pine Mid-Field Monitoring,MFMP 8 - 1.5m,16,2019-05-02T00:00:00,"",SAL,Saline Water,Grab,Sampler 10,10:51:00,24.2,5.3,7.5,29600,"",18.3,"","","","","",<3,"",6.8,0.021,0.015,0.063,0.42,0.12,0.4
977,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2019-05-02T00:00:00,"",STP,Sewage,Grab,Sampler 10,10:05:00,28.4,7.5,7.6,765,"",0.4,4 EST,46,<1,1.3,1,<3,2,12,0.033,0.042,0.26,1.01,0.36,0.97
978,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2019-06-13T00:00:00,"",SAL,Saline Water,Grab,Sampler 1,07:40:00,18.9,9.3,7.7,47300,1.4,30.6,4 EST,6 EST,<1,2.7,1,<3,16,7.4,<0.005,<0.005,0.027,0.35,0.06,0.35
979,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2019-06-13T00:00:00,"",SAL,Saline Water,Grab,Sampler 1,07:50:00,18.9,9.7,7.8,47700,"",30.9,"","","","","",<3,"",7.3,<0.005,<0.005,0.027,0.35,0.06,0.35
980,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2019-06-13T00:00:00,"",SAL,Saline Water,Grab,Sampler 1,08:25:00,18.9,8.7,7.7,46400,1.3,30,3 EST,5 EST,2 EST,2.7,1,<3,25,5.3,<0.005,<0.005,0.03,0.39,0.06,0.39
981,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2019-06-13T00:00:00,"",SAL,Saline Water,Grab,Sampler 1,08:35:00,18.9,9.5,7.8,47900,"",31,"","","","","",<3,"",5.8,<0.005,<0.005,0.028,0.37,0.06,0.37
982,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2019-06-13T00:00:00,"",SAL,Saline Water,Grab,Sampler 1,08:45:00,19.1,6.9,7.7,44000,1.4,28.3,3 EST,10 EST,4 EST,2.7,1,<3,13,5.3,<0.005,0.009,0.037,0.41,0.08,0.4
983,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2019-06-13T00:00:00,"",SAL,Saline Water,Grab,Sampler 1,08:55:00,19.1,6.8,7.7,45600,"",29.4,"","","","","",<3,"",5.5,<0.005,<0.005,0.036,0.38,0.08,0.38
984,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2019-06-13T00:00:00,"",SAL,Saline Water,Grab,Sampler 1,09:20:00,20.1,6.4,7.5,38400,1.4,24.3,6 EST,10 EST,2 EST,<1,1,<3,26,5.6,0.02,0.009,0.035,0.41,0.08,0.4
985,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2019-06-13T00:00:00,"",SAL,Saline Water,Grab,Sampler 1,09:30:00,19.2,6.5,7.7,45200,"",29.1,"","","","","",<3,"",5.4,0.011,0.008,0.039,0.38,0.08,0.38
986,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2019-06-13T00:00:00,"",SAL,Saline Water,Grab,Sampler 1,09:40:00,19.1,8.5,7.6,43500,1.3,27.9,3 EST,5 EST,3 EST,2.7,1,<3,28,6.1,0.028,0.02,0.047,0.41,0.08,0.39
987,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2019-06-13T00:00:00,"",SAL,Saline Water,Grab,Sampler 1,09:50:00,19.1,7.9,7.6,44000,"",28.2,"","","","","",<3,"",5.6,0.024,0.016,0.045,0.38,0.08,0.36
988,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2019-06-13T00:00:00,"",SAL,Saline Water,Grab,Sampler 1,09:55:00,19.2,5.4,7.4,42200,1.5,27,9,14,5 EST,1.3,1,<3,13,5.5,0.046,0.032,0.049,0.42,0.08,0.39
989,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2019-06-13T00:00:00,"",SAL,Saline Water,Grab,Sampler 1,10:05:00,19.1,5.4,7.5,42300,"",27.1,"","","","","",<3,"",5.5,0.046,0.03,0.047,0.39,0.08,0.36
990,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2019-06-13T00:00:00,"",SAL,Saline Water,Grab,Sampler 1,10:20:00,19.2,4.6,7.3,39800,1.6,25.3,38,52,23,2.7,1,<3,4,4.6,0.06,0.041,0.05,0.38,0.08,0.34
991,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2019-06-13T00:00:00,"",SAL,Saline Water,Grab,Sampler 1,10:25:00,19.2,4.5,7.4,40100,"",25.5,"","","","","",<3,"",5.2,0.058,0.039,0.045,0.4,0.08,0.36
